FKBP1A	GO:0032092;GO:0016529;GO:0055010;GO:0061077;GO:1902991;GO:0007179;GO:0042110;GO:0043123;GO:0000413;GO:0060347;GO:0032925;GO:0003007;GO:0005527;GO:0048185;GO:0005528;GO:1990425;GO:0031398;GO:0070588;GO:0005829;GO:0031312;GO:0050776;GO:0007183;GO:0022417;GO:0005160;GO:0032880;GO:0006457;GO:0042026;GO:0004871;GO:0006458;GO:0044325;GO:0060314;GO:1990000;GO:0030018;GO:0003755;GO:0032515;GO:0098562;GO:0005515;GO:0046332;GO:0005737;GO:0016020;GO:0097435;GO:0014802;GO:0034713
SMIM6	GO:0016021
CHRNE	GO:0007271;GO:0060079;GO:0015464;GO:0007274;GO:0015276;GO:0007165;GO:0022848;GO:0034220;GO:0008324;GO:0042166;GO:0005230;GO:0007268;GO:0005892;GO:0035094;GO:0045202;GO:0043005;GO:0005886;GO:0005887;GO:0042391;GO:0045211;GO:0006936;GO:0098655;GO:0030054;GO:0050877
FRA10AC1	GO:0005634;GO:0005515
CCDC61	GO:0005813
FCGBP	GO:0005515;GO:0070062
ZNF780B	GO:0003677;GO:0005634;GO:0003700;GO:0006351;GO:0046872;GO:0006355
ZNF816	GO:0003677;GO:0005634;GO:0003700;GO:0006351;GO:0046872;GO:0006355;GO:0000981;GO:0006357
HELB	GO:0006281;GO:0035861;GO:2000042;GO:0006260;GO:0006261;GO:0006396;GO:1903775;GO:0005662;GO:0006974;GO:0004004;GO:0006269;GO:0044822;GO:0005524;GO:0005634;GO:0003723;GO:0005658;GO:0043141;GO:0005737;GO:0032508;GO:0017116
SLC4A4	GO:0015698;GO:0008510;GO:0005452;GO:0005886;GO:0005887;GO:0006814;GO:0051453;GO:0005515;GO:0070062;GO:0098656;GO:0008509;GO:0015701;GO:0016323
NUMBL	GO:0021849;GO:0019538;GO:0021670;GO:0005515;GO:0034332;GO:0005737;GO:0007409;GO:0019221;GO:0007399;GO:0050769
LOC102723996	GO:0016021
GCSAML	GO:0050855;GO:2000401
OR2B11	GO:0004930;GO:0007186;GO:0007608;GO:0016021;GO:0050911;GO:0004984;GO:0005886
SEC63	GO:0036498;GO:0038023;GO:0005783;GO:0006612;GO:0006620;GO:0005789;GO:0003723;GO:0005515;GO:0006614;GO:0006807;GO:0001889;GO:0016020;GO:0072001;GO:0010259;GO:0030176;GO:0005829;GO:0031204
APOBEC3B	GO:0005634;GO:0008270;GO:0003723;GO:0005737;GO:0010529;GO:0045087;GO:0080111;GO:0047844;GO:0051607;GO:0016554;GO:0004126
