# Columns:
#
# unip_acc: Uniprot accession number
# unip_id: Uniprot identifier  
# source: Source of the transcriptions factor classification
#
#unip_acc	unip_id	source
Q99626	CDX2_HUMAN	Vaquerizas et al.
Q99623	PHB2_HUMAN	Vaquerizas et al.
Q99612	KLF6_HUMAN	Vaquerizas et al.
Q99607	ELF4_HUMAN	Vaquerizas et al.
Q99594	TEAD3_HUMAN	Vaquerizas et al.
Q99593	TBX5_HUMAN	Vaquerizas et al.
Q99592	ZN238_HUMAN	Vaquerizas et al.
Q99583	MNT_HUMAN	Vaquerizas et al.
Q99581	FEV_HUMAN	Vaquerizas et al.
Q99576	T22D3_HUMAN	Vaquerizas et al.
Q99459	CDC5L_HUMAN	Vaquerizas et al.
Q99453	PHX2B_HUMAN	Vaquerizas et al.
Q99081	HTF4_HUMAN	Vaquerizas et al.
Q96T92	INSM2_HUMAN	Vaquerizas et al.
Q96T25	ZIC5_HUMAN	Vaquerizas et al.
Q96SZ4	ZSC10_HUMAN	Vaquerizas et al.
Q96SR6	ZN382_HUMAN	Vaquerizas et al.
Q96SQ5	ZN587_HUMAN	Vaquerizas et al.
Q96SL8	FIZ1_HUMAN	Vaquerizas et al.
Q96SK3	ZN607_HUMAN	Vaquerizas et al.
Q96SF7	TBX15_HUMAN	Vaquerizas et al.
Q96SE7	ZN347_HUMAN	Vaquerizas et al.
Q96SC8	DMTA2_HUMAN	Vaquerizas et al.
Q96RK0	CIC_HUMAN	Vaquerizas et al.
Q96RI1	NR1H4_HUMAN	Vaquerizas et al.
Q96RE9	ZN300_HUMAN	Vaquerizas et al.
Q96QS3	ARX_HUMAN	Vaquerizas et al.
Q96PQ6	ZN317_HUMAN	Vaquerizas et al.
Q96PN7	TREF1_HUMAN	Vaquerizas et al.
Q96PM9	Z385A_HUMAN	Vaquerizas et al.
Q96PE6	ZIM3_HUMAN	Vaquerizas et al.
Q96NZ1	FOXN4_HUMAN	Vaquerizas et al.
Q96NX9	DACH2_HUMAN	Vaquerizas et al.
Q96NL3	ZN599_HUMAN	Vaquerizas et al.
Q96NK8	NDF6_HUMAN	Vaquerizas et al.
Q96NJ6	ZFP3_HUMAN	Vaquerizas et al.
Q96NJ3	Z285A_HUMAN	Vaquerizas et al.
Q96NI8	ZN570_HUMAN	Vaquerizas et al.
Q96NG8	ZN582_HUMAN	Vaquerizas et al.
Q96NG5	ZN558_HUMAN	Vaquerizas et al.
Q96ND8	ZN583_HUMAN	Vaquerizas et al.
Q96NB3	ZN830_HUMAN	Vaquerizas et al.
Q96N95	ZN396_HUMAN	Vaquerizas et al.
